"BehaviorSpace results (NetLogo 6.2.2)"
"Core_Housing_Model.nlogo"
"baseline"
"01/17/2022 22:21:24:266 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","reliance-on-network","fixed-distr-social-housing","income-socially-influenced?","hide-links?","number","clustered-social-housing","minimum-score-upper","social-housing?","minimum-score-working","different-district-colours?","number-socialhousing","minimum-score-middle","[step]","segregation_working_obj ;;average segregation measure for the working class based on distribution of turtles of the same class in neighboring patches","segregation_middle_obj ;;average segregation measure for the middle class based on distribution of turtles of the same class in neighboring patches","segregation_upper_obj ;;average segregation measure for the upper class based on distribution of turtles of the same class in neighboring patches","segregation_working_norm ;;average segregation measure for the working class based on distance to greeneries and services","segregation_middle_norm ;;average segregation measure for the middle class based on distance to greeneries and services","segregation_upper_norm ;;average segregation measure for the upper class based on distance to greeneries and services","total-working","total-middle","total-upper","working-district-1","working-district-2","working-district-3","working-district-4","working-periphery","working-centre","middle-district-1","middle-district-2","middle-district-3","middle-district-4","middle-periphery","middle-centre","upper-district-1","upper-district-2","upper-district-3","upper-district-4","upper-periphery","upper-centre","working-avg-distance-services","middle-avg-distance-services","upper-avg-distance-services","working-avg-distance-green","middle-avg-distance-green","upper-avg-distance-green","percent-cannot-afford","percent-unhappy","min-income","max-income","mean-income","std-income","min-wealth","max-wealth","avg-wealth","std-wealth","min-houseprice","max-houseprice","avg-houseprice","std-houseprice"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","2","5.591760299625468","4.966228893058162","5.75046904315197","0","0","0","534","533","533","74","91","71","52","246","288","153","75","95","72","138","395","86","109","149","150","39","494","4.984886360078688","5.009937702420856","4.5946891428880186","5.127751042519014","5.399997232193847","4.727251193177409","9.375","34.625","204","7436","1854.776875","1279.8976402709782","118","3442","973.410625","557.0175377382219","68","11339","1727.0642813826562","1476.6132577958263"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","3","6.0187265917602994","5.25515947467167","5.889305816135084","0","0","0","534","533","533","82","61","79","38","274","260","158","124","84","63","104","429","74","90","148","175","46","487","5.137214635332829","4.968590636887481","4.435403126633586","5.1217581809739565","5.34583148368248","4.7861848550757164","7.124999999999999","26.437500000000004","247","7451","1800.630625","1199.4938761458625","142","3383","976.6125","566.2011190034185","61","9156","1669.9987871437236","1361.237629326224"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","4","5.737827715355805","4.947467166979362","5.6679174484052535","0","0","0","534","533","533","78","65","88","55","248","286","108","73","147","79","126","407","126","142","72","139","54","479","5.022278884312737","4.866953844868906","4.639758938233074","5.28794483120456","5.089194982152942","4.850057297397711","7.6875","24.25","190","6962","1801.911875","1154.7268786217876","137","3937","978.9725","561.4299825085376","51","9918","1788.3602183141297","1475.5118114067814"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","3","6.033707865168539","4.966228893058162","5.5966228893058165","0","0","0","534","533","533","79","49","69","56","281","253","149","99","110","70","105","428","81","123","139","149","41","492","5.0902020601079565","4.934125081935843","4.5885584034666005","5.38247904085491","5.111780539185277","4.775169158443527","7.9375","26.75","160","8326","1826.386875","1224.0198620087244","98","3011","979.39125","556.2223073627513","44","8986","1747.6203759854457","1439.8958907457536"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","3","5.947565543071161","4.988742964352721","5.686679174484053","0","0","0","534","533","533","68","82","66","47","271","263","157","85","98","80","113","420","88","111","144","149","41","492","4.919748107050869","4.963716543361625","4.640982310214104","5.256987335296639","5.241282418383401","4.7326155883964995","6.6875","25.75","205","7458","1860.350625","1283.7393780208197","118","3442","973.410625","557.0175377382218","72","11346","1732.1540327471196","1477.7066545299297"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","5","5.883895131086143","4.947467166979362","5.74671669793621","0","0","0","534","533","533","73","60","92","50","259","275","109","78","144","76","126","407","125","142","77","147","42","491","5.03382601271685","4.90213138487707","4.63581408458624","5.192404953754367","5.197940972336081","4.836239731223141","7.3125","20.75","191","6983","1807.31125","1158.1976090836108","137","3937","978.9725","561.4299825085377","53","9928","1793.6379624014555","1476.616105936276"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","4","6.037453183520599","5.4202626641651035","5.859287054409005","0","0","0","534","533","533","81","63","76","40","274","260","160","130","84","59","100","433","71","87","150","177","48","485","5.0954624654943474","4.939081570264425","4.455001747032418","5.147257548641028","5.303716449029504","4.795060218282058","5.9375","21.125","248","7473","1806.023125","1203.0943692739131","142","3383","976.6125","566.2011190034184","63","9163","1674.9053972104305","1362.160881294982"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","4","6.097378277153558","4.973733583489681","5.634146341463414","0","0","0","534","533","533","86","49","67","56","276","258","143","105","109","65","111","422","78","124","141","152","38","495","5.024510468849626","5.048207672030178","4.543630752070661","5.378171173653106","5.066727513572496","4.762415079705127","7.375","21.5","160","8351","1831.8575","1227.6994536170125","98","3011","979.39125","556.2223073627505","45","8994","1752.7525773195875","1440.944153262902"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","6","5.872659176029963","4.909943714821764","5.735459662288931","0","0","0","534","533","533","78","54","90","55","257","277","109","76","149","74","125","408","128","148","70","144","43","490","4.9993767761769075","4.8448635825516675","4.656586249586364","5.279569420412589","5.104695546007","4.848774737258716","7.249999999999999","18.1875","192","7004","1812.721875","1161.6760742930799","137","3937","978.9725","561.4299825085379","55","9938","1798.9345057610674","1477.7325677619774"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","4","5.835205992509363","4.804878048780488","5.637898686679175","0","0","0","534","533","533","62","83","76","47","266","268","150","88","96","79","120","413","94","109","141","149","40","493","4.966778371437585","5.0178359723540025","4.583535962552249","5.2084578212415025","5.259273385851501","4.744378900738134","5.75","20.5625","206","7480","1865.94125","1287.5894714359774","118","3442","973.410625","557.0175377382221","76","11353","1737.2553062462098","1478.8060064807141"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","5","6.082397003745318","5.356472795497186","5.9793621013133205","0","0","0","534","533","533","78","63","77","40","276","258","162","125","81","63","102","431","74","86","154","174","45","488","5.088644831429799","4.905788450553867","4.517869836112104","5.1033659494726695","5.308718829964384","4.796324056940986","5","17.5","249","7495","1811.428125","1206.7009636168066","142","3383","976.6125","566.2011190034187","65","9170","1679.8277744087325","1363.0965833582984"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","5","6.153558052434457","4.962476547842401","5.6041275797373356","0","0","0","534","533","533","76","47","74","54","283","251","146","106","106","66","109","424","86","125","139","148","35","498","5.07498138349454","4.953758039394255","4.559788774486904","5.355575819922452","5.16973032506535","4.760947475063307","6.75","18.8125","160","8376","1837.345625","1231.3927749797317","98","3011","979.39125","556.2223073627513","46","9002","1757.901758641601","1442.0010503386366"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","7","5.947565543071161","5.056285178236398","5.75797373358349","0","0","0","534","533","533","73","62","85","52","262","272","115","73","152","75","118","415","127","145","70","144","47","486","5.044878501085511","4.888758178367847","4.644332435982635","5.318742874730366","5.031689077560191","4.882167941691776","6.625","16.1875","193","7025","1818.149375","1165.1653620893235","137","3937","978.9725","561.4299825085371","57","9948","1804.241964827168","1478.857469987847"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","5","5.97378277153558","4.966228893058162","5.679174484052533","0","0","0","534","533","533","63","82","64","53","272","262","157","89","100","75","112","421","94","108","147","147","37","496","4.895922402309323","5.051026217076358","4.6308554094009","5.163144380606103","5.2889390229697195","4.746922283657055","5.1875","17.1875","207","7502","1871.545","1291.4458077660468","118","3442","973.410625","557.017537738222","80","11360","1742.369921164342","1479.909518264563"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","6","5.921348314606742","5.281425891181989","6.009380863039399","0","0","0","534","533","533","81","67","72","42","272","262","160","127","83","60","103","430","69","86","155","175","48","485","5.072693129293725","4.944032457371805","4.547263450703347","5.152577992837323","5.286133278195142","4.799553136451364","4.6875","15.375","250","7517","1816.851875","1210.320983452674","142","3383","976.6125","566.2011190034185","67","9177","1684.7640994542146","1364.0375904201833"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","6","6.1610486891385765","4.951219512195122","5.585365853658536","0","0","0","534","533","533","76","51","71","51","285","249","149","100","110","71","103","430","87","123","136","150","37","496","5.128840437850636","4.888674560184659","4.564106371041719","5.311285080293021","5.2299485332025295","4.731174702223109","6.25","16.375","160","8401","1842.8525","1235.0996985201448","98","3011","979.39125","556.2223073627509","47","9010","1763.0673135233476","1443.0702940259428"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","8","5.872659176029963","5.086303939962477","5.630393996247655","0","0","0","534","533","533","78","64","82","53","257","277","112","74","157","71","119","414","122","141","72","148","50","483","5.069634581443702","4.893356342560955","4.5834804012101","5.307760091745533","5.165573143933675","4.798880000011484","6.1875","14.875","194","7046","1823.586875","1168.6625780528238","137","3937","978.9725","561.4299825085376","59","9958","1809.5657974530018","1479.9963815864842"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","9","5.947565543071161","5.101313320825516","5.7317073170731705","0","0","0","534","533","533","72","63","83","54","262","272","114","75","153","76","115","418","129","137","75","145","47","486","5.082554528668248","4.878967659707235","4.596305127741008","5.30615415943091","5.155056937795494","4.7690370646418785","6.375","14.0625","195","7067","1829.039375","1172.17466861095","137","3937","978.9725","561.4299825085374","61","9969","1814.904184354154","1481.1481837649153"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","7","6.213483146067416","5.345215759849906","6.009380863039399","0","0","0","534","533","533","75","60","77","40","282","252","164","127","84","62","96","437","73","84","151","177","48","485","5.112396584253829","4.918502674313415","4.497308215783105","5.1036483426536865","5.324983291698442","4.859431129284796","4.375","14.0625","251","7540","1822.2975","1213.9624745228818","142","3383","976.6125","566.2011190034187","69","9184","1689.7125530624621","1364.9901720346938"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","6","5.9588014981273405","4.921200750469043","5.622889305816135","0","0","0","534","533","533","70","83","62","50","269","265","152","88","105","74","114","419","93","108","142","149","41","492","4.947351299477873","5.0685460973596275","4.563790560903208","5.2292357710407735","5.305571827955879","4.7378778256110285","4.375","14.4375","208","7525","1877.1625","1295.3186350557548","118","3442","973.410625","557.017537738222","84","11367","1747.4984839296544","1481.021434425265"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","7","6.247191011235955","4.988742964352721","5.619136960600375","0","0","0","534","533","533","73","53","66","53","289","245","155","95","111","71","101","432","86","127","134","150","36","497","5.041270781554798","4.965061378309051","4.563369069417859","5.30010035776249","5.193013823690054","4.7807603989406475","5.8125","14.124999999999998","160","8426","1848.375625","1238.8158953391535","98","3011","979.39125","556.2223073627508","48","9018","1768.2504548211036","1444.1468803805797"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","10","5.943820224719101","4.958724202626642","5.75797373358349","0","0","0","534","533","533","75","59","89","47","264","270","112","76","150","79","116","417","125","141","72","148","47","486","5.066783346898688","4.8351472642051325","4.617015270230195","5.3218105459467875","5.072655212105093","4.827280535582591","6.125","13.1875","196","7088","1834.505625","1175.6991915819883","0","3716","956.6775","594.4065847433397","63","9980","1820.2546998180715","1482.3063444927934"
"3","50","true","false","true","1600","true","65","false","40","false","350","55","8","6.322097378277154","4.99249530956848","5.581613508442777","0","0","0","534","533","533","82","46","64","52","290","244","144","105","116","72","96","437","85","125","137","146","40","493","5.042736156628202","4.915270955467943","4.633901993551496","5.3582735232379095","5.168957249124725","4.708709825159735","5.875","13.4375","160","8451","1853.92125","1242.5497867414692","98","3011","979.39125","556.2223073627508","49","9026","1773.4487568223165","1445.2259813217274"
"2","50","true","false","true","1600","true","65","false","40","false","350","55","8","6.074906367041199","5.435272045028142","5.99437148217636","0","0","0","534","533","533","70","66","75","41","282","252","170","120","85","61","97","436","72","91","149","175","46","487","5.0716147410950185","4.9106578210800595","4.515969431586455","5.1205835115565455","5.277976763417296","4.812350268668807","4.375","12.875","252","7563","1827.755625","1217.6122574168453","142","3383","976.6125","566.2011190034191","71","9191","1694.6767738023045","1365.9504676410525"
"4","50","true","false","true","1600","true","65","false","40","false","350","55","7","6.138576779026217","4.906191369606003","5.615384615384615","0","0","0","534","533","533","69","79","58","48","280","254","153","88","111","75","106","427","91","108","145","149","40","493","4.9456913846374695","5.005013008994403","4.597768668458937","5.2792411342760985","5.266192066705728","4.718533289182693","3.6249999999999996","12.687499999999998","209","7548","1882.79125","1299.2016397528134","118","3442","973.410625","557.0175377382218","88","11374","1752.6428138265615","1482.1373954089913"
"1","50","true","false","true","1600","true","65","false","40","false","350","55","11","6.033707865168539","5.071294559099437","5.697936210131332","0","0","0","534","533","533","73","60","86","49","266","268","115","77","153","77","111","422","126","139","74","147","47","486","5.047213538146103","4.8416712293516255","4.660071924297979","5.302087285132129","5.080537230036147","4.8084170827714745","6.75","13","197","7109","1839.984375","1179.2296519288989","0","3676","959.966875","613.478694288115","65","9991","1825.6179502728926","1483.475397722682"
